Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-09-12,0.60793,0.985107,0.57708,0.629251,257746.0,-1.0,0.78
2017-09-13,0.629451,1.75,0.627058,1.28,521254.0,-1.0,1.19
2017-09-14,1.28,1.53,0.936699,1.14,326545.0,15824900.0,1.23
2017-09-15,1.14,1.45,0.843508,1.35,150395.0,14142600.0,1.15
2017-09-16,1.36,1.51,1.05,1.28,265917.0,16837900.0,1.28
2017-09-17,1.28,1.34,1.1,1.29,114147.0,15856300.0,1.22
2017-09-18,1.29,1.46,1.18,1.24,165211.0,15986800.0,1.32
2017-09-19,1.25,1.33,1.05,1.21,114676.0,15458600.0,1.19
2017-09-20,1.21,1.21,0.772058,0.919734,94403.0,15033100.0,0.99
2017-09-21,0.915207,0.993181,0.870638,0.953339,55864.0,11343300.0,0.93
2017-09-22,0.937803,1.17,0.908617,1.12,102911.0,11625800.0,1.04
2017-09-23,1.15,1.19,1.05,1.07,252009.0,14224700.0,1.12
2017-09-24,1.07,1.08,0.953492,1.01,107388.0,13265400.0,1.02
2017-09-25,1.03,1.18,1.02,1.14,90874.0,12785200.0,1.1
2017-09-26,1.11,1.15,1.04,1.09,95988.0,13817500.0,1.09
2017-09-27,1.12,1.18,0.96526,0.99675,87055.0,13939900.0,1.07
2017-09-28,0.996614,1.18,0.796663,1.06,116005.0,12370900.0,0.99
2017-09-29,1.01,1.09,0.836638,0.955955,115864.0,12564200.0,0.96
2017-09-30,0.956077,1.07,0.938594,0.982839,70904.0,11873000.0,1.0
2017-10-01,0.98337,1.15,0.907513,1.09,143693.0,12214600.0,1.03
2017-10-02,1.08,1.13,0.989687,1.1,146971.0,13364300.0,1.06
2017-10-03,1.1,1.6,1.1,1.56,241967.0,13686100.0,1.35
2017-10-04,1.53,2.49,1.33,1.94,389876.0,18995500.0,1.91
2017-10-05,1.99,2.39,1.75,2.33,320554.0,24683700.0,2.07
2017-10-06,2.37,2.99,2.18,2.45,589588.0,29478900.0,2.58
2017-10-07,2.52,2.52,1.84,2.09,200175.0,31339200.0,2.18
2017-10-08,2.09,2.44,1.76,1.94,265192.0,25952800.0,2.1
2017-10-09,1.94,2.11,1.44,1.84,209820.0,24185100.0,1.77
2017-10-10,1.73,1.85,1.52,1.77,129318.0,21549900.0,1.69
2017-10-11,1.77,2.3,1.64,1.7,157037.0,22068400.0,1.97
2017-10-12,1.7,1.93,1.64,1.81,76484.0,21179200.0,1.78
2017-10-13,1.81,2.26,1.77,2.04,151895.0,22573600.0,2.01
2017-10-14,1.97,2.56,1.95,2.5,208909.0,24593200.0,2.25
2017-10-15,2.5,2.5,1.93,2.43,193211.0,31189100.0,2.21
2017-10-16,2.43,3.09,2.15,2.89,383784.0,30320100.0,2.62
2017-10-17,2.9,3.74,2.78,3.58,889541.0,36111100.0,3.26
2017-10-18,3.42,4.69,3.21,4.53,1980250.0,42702900.0,3.95
2017-10-19,4.53,4.55,3.84,4.12,472055.0,56504000.0,4.2
2017-10-20,4.22,4.54,3.96,4.26,476738.0,52651700.0,4.25
2017-10-21,4.25,4.28,3.64,3.74,316624.0,52992000.0,3.96
2017-10-22,3.77,4.45,3.63,4.4,318137.0,47092700.0,4.04
2017-10-23,4.42,5.21,4.1,5.2,499088.0,55222700.0,4.65
2017-10-24,5.19,5.88,4.91,5.19,900605.0,64805700.0,5.39
2017-10-25,5.19,5.36,4.54,5.14,447547.0,64882600.0,4.95
2017-10-26,5.14,5.99,4.92,5.78,459691.0,64208800.0,5.46
2017-10-27,5.78,5.91,5.15,5.2,387179.0,72277900.0,5.53
2017-10-28,5.31,5.39,4.56,4.98,347010.0,66331900.0,4.97
2017-10-29,4.97,5.23,4.57,4.73,270925.0,62173100.0,4.9
2017-10-30,4.7,4.96,3.5,4.48,698406.0,58720400.0,4.23
2017-10-31,4.47,5.1,4.13,4.83,447235.0,55867700.0,4.62
2017-11-01,4.83,5.1,4.09,4.2,404690.0,60363000.0,4.59
2017-11-02,4.2,4.26,2.77,4.04,745693.0,52542100.0,3.51
2017-11-03,4.03,4.23,3.5,4.04,228962.0,50370100.0,3.87
2017-11-04,3.97,5.35,3.7,3.7,209124.0,49721800.0,4.53
2017-11-05,3.69,4.2,3.69,3.79,245500.0,46186500.0,3.95
2017-11-06,3.83,3.97,3.29,3.8,290900.0,48016100.0,3.63
2017-11-07,3.79,4.03,3.62,3.96,180467.0,47480200.0,3.83
2017-11-08,3.94,5.18,3.93,4.64,489596.0,49416000.0,4.55
2017-11-09,4.64,5.3,4.33,4.92,652781.0,58104500.0,4.81
2017-11-10,4.93,4.98,3.87,4.0,400021.0,61822100.0,4.43
2017-11-11,4.06,4.4,3.79,3.88,470746.0,50957600.0,4.1
2017-11-12,3.88,4.07,3.31,3.56,300980.0,48605400.0,3.69
2017-11-13,3.57,4.15,3.5,3.83,283372.0,44757200.0,3.83
2017-11-14,3.84,3.94,2.91,3.62,368012.0,48177500.0,3.42
2017-11-15,3.62,3.72,3.29,3.52,393762.0,45390000.0,3.5
2017-11-16,3.54,4.6,3.41,3.99,684305.0,44368000.0,4.0
2017-11-17,4.23,4.23,3.26,3.37,463203.0,53156000.0,3.75
2017-11-18,3.35,3.52,3.13,3.37,296049.0,42099100.0,3.33
